State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,841265,114998,152524,684753,93604,645723,117072,369636,50.5,347720,63,326707,44.7,309509,56.1,421185,360780,59300,0,26971,286679,370928,175,132675,168964,25026,42,132313,152253,24904,39,301681,50.5,347720,63,41.2,284605,51.6,369636,75392,82.3,70904,77.4,39979,28406,2497,22,142230,155293,918532,368415,60.5,325950,53.5,132672,168212,25024,42,682776,112137,138167
Alabama,4893240,99797,128267,3434499,70046,3347876,87758,2000914,40.8,1946134,51,1639032,33.4,1605498,42.1,2364840,2247100,281300,0,115515,1588433,1730547,4,728270,792401,118222,139,728021,759176,118162,139,1520810,40.8,1946134,51,31,1487336,39,2000914,675326,79.5,584254,68.7,308717,244203,31246,88,1204937,141784,575786,2000589,47.8,1638995,39.1,728259,792381,118216,139,3434178,82022,116871
Arkansas,2879750,95425,124253,2297956,76147,2209867,95350,1304706,43.2,1251714,54,1057900,35.1,1022411,44.1,1400670,1300180,178900,0,80328,1066201,1150790,637,480544,498691,78499,166,479565,464643,78049,154,979401,43.2,1251714,54,32.5,944362,40.7,1304706,409947,78.3,346798,66.2,200655,133831,12219,93,747942,142769,549694,1301125,50.9,1056496,41.3,480538,497407,78386,165,2293028,89668,112611
American Samoa,54030,97021,124565,49040,88060,45220,104254,27279,49,24787,57.1,22388,40.2,21065,48.6,37830,15600,600,0,513,12058,36469,0,5507,16361,520,0,5494,15052,519,0,21868,49,24787,57.1,39.3,20546,47.4,27279,2673,28.3,2425,25.7,982,1422,21,0,5003,53020,572594,27274,57.4,22386,47.1,5506,16360,520,0,49033,103104,113611
Arizona,8254080,113400,146388,6907835,94905,6560813,116358,3746711,51.5,3555257,63.1,3216251,44.2,3068832,54.4,4393500,3429580,431000,0,246967,2927819,3725894,7155,1300662,1675141,238094,2354,1300249,1528497,237749,2337,2978157,51.5,3555257,63.1,40.9,2831083,50.2,3746711,1115711,85.3,966447,73.9,478160,445535,41412,1340,2129351,162716,630741,3745964,60.4,3215925,51.8,1300643,1675064,237864,2354,6907018,111295,133000
Bureau of Prisons,205990,N/A,N/A,197130,N/A,197129,N/A,106759,N/A,106758,N/A,97915,N/A,97915,N/A,109170,86220,10600,0,8642,81376,107112,0,38714,50607,8594,0,38714,50607,8594,0,89321,N/A,106758,N/A,0,89321,0,106759,3345,0,3125,0,1522,1490,113,0,6397,0,0,106758,0,97915,0,38714,50607,8594,0,197129,0,0
California,49757035,125928,162511,43767439,110769,41054767,134089,24808278,62.8,23278447,76,20261870,51.3,19075149,62.3,26912295,20228940,2615800,0,1604595,17636917,24518401,7526,7807402,10861747,1590452,2269,7782798,9706913,1583300,2138,18671418,62.8,23278447,76,47.3,17491849,57.1,24808278,5516607,94.5,4444441,76.1,2274422,2008484,160713,822,9896299,169512,852279,24729867,73.5,20213677,60.1,7806992,10814278,1590142,2265,43640595,129704,147883
Colorado,7110155,123467,158031,6322092,109783,5932812,131863,3392667,58.9,3179485,70.7,3061388,53.2,2885502,64.1,3851175,2918680,340300,0,226985,2619344,3472285,3478,1226613,1610321,223363,1091,1223082,1439083,222270,1067,2838025,58.9,3179485,70.7,49.3,2663232,59.2,3392667,740310,87.9,674012,80,333241,319892,20523,356,1423303,168956,844023,3381001,68.5,3053488,61.9,1226601,1602454,223342,1091,6302397,127681,144045
Connecticut,4787775,134289,168712,4487066,125854,4203422,148120,2428910,68.1,2275447,80.2,2207859,61.9,2082344,73.4,2596755,1941020,250000,0,179174,1724842,2582483,567,819131,1209815,178731,182,818768,1084841,178588,147,2029128,68.1,2275447,80.2,56.9,1903756,67.1,2428910,601735,95.5,563981,89.5,222949,322694,18297,41,1162068,184384,759670,2427664,78.2,2207416,71.1,818928,1209649,178657,182,4485451,144415,154149
District of Columbia,1073805,152151,185914,883134,125134,859958,148890,440681,62.4,425428,73.7,378286,53.6,368376,63.8,592965,426440,54400,0,28373,347483,506890,388,143619,202757,31704,206,143573,192924,31685,194,346582,62.4,425428,73.7,49.1,336691,58.3,440681,75180,86.1,67293,77,37914,27105,2250,24,171309,196134,1229410,440592,72.3,378244,62,143614,202722,31702,206,883054,144821,176105
