variant,fiber,position,MOR,MOE,IB,SH,TS2H,TS24H,WA2H,WA24H
PE,Parallel,external,83.63,9304,1.41,120.35661218425,8.52,17.23,18.72,34.47
PE,Parallel,external,82.5,8780.6,1.19,136.363636363636,11.52,18.43,18.68,30.48
PE,Parallel,external,87.22,9933.3,1.03,165.016501650165,8.62,16.58,19.63,33.87
PE,Parallel,external,77.23,8083.7,1.23,141.135972461274,7.73,19.72,23.2,35.22
PE,Parallel,external,92.01,10181.3,0.66,142.857142857143,12.4,21.32,21.15,32.61
PE,Parallel,external,86.61,8500.1,0.8,140.961857379768,14.73,22.36,26.12,40.86
PE,Parallel,external,74.53,8579.8,1.2,171.57712305026,14.39,22.3,23.15,35.55
PE,Parallel,external,79.52,9620,1.22,125.4568,9.66,20.15,19.61,31.21
PE,Parallel,external,87.71,8757.3,1.18,151.2658,14.09,22.3,24.24,38.23
PE,Parallel,external,80.33,9644.8,1.32,162.235,13.33,19.22,20.29,35.2
PI,Parallel,internal,88.86,9623.8,1.64,116.244411326379,5.6,13.53,22.62,38.08
PI,Parallel,internal,89.2,9041.7,1.03,106.707317073171,6.24999999999999,11.25,25.49,37.25
PI,Parallel,internal,82.35,9271.4,1.03,103.975535168196,5.05,9.94,25.42,41.16
PI,Parallel,internal,81.78,9018.7,1.25,108.308605341246,6.73,10.09,17.54,32.71
PI,Parallel,internal,86.41,9337.1,1.3,106.351,5.53,12.6,18.82,32.86
PI,Parallel,internal,73.65,7206.1,1.18,139.784946236559,5.12,12.12,17.96,31.87
PI,Parallel,internal,73.72,7997.9,1.41,145.161290322581,4.98,10.11,26.03,40.21
PI,Parallel,internal,72.62,8174.5,1.13,119.24,6.02,13.41,18.22,32.2
PI,Parallel,internal,71.59,8508.1,1.4,123.458,5.44,12.1,24.21,41
PI,Parallel,internal,74.83,8040.6,1.28,134.568,6.34,14.21,25.27,35.47
CE,Cross,external,82.4,7852.4,0.68,127.831715210356,11.78,18.17,24.5,46.99
CE,Cross,external,83.87,8971.5,1.15,145.662847790507,11.13,12.85,31.89,43.49
CE,Cross,external,74.42,9006.1,0.69,135.506003430532,9.41,15.35,22.47,37.21
CE,Cross,external,89.38,10107.3,1.12,115.506329113924,9.09,16.93,33.49,45.61
CE,Cross,external,64.25,8250.8,1.19,132.605304212168,12.5,19.24,28.65,41.56
CE,Cross,external,68.81,8881.8,0.98,139.573070607553,7.99,14.1,21.61,35.83
CE,Cross,external,78.98,8468.3,1.59,117.557251908397,7.49,13.87,21.88,35.17
CE,Cross,external,62.53,8598.8,1.06,121.345,10.05,13.01,22.67,38.81
CE,Cross,external,84.23,9823.4,1.45,130.784,11.55,18.2,29.83,44.26
CE,Cross,external,80.27,8371.1,1.31,140.123,11.34,14.71,29.71,45.22
CI,Cross,internal,78.12,7219.6,1.43,127.760252365931,10.07,18.12,27.79,42.44
CI,Cross,internal,63.89,6873.7,1.74,125.429553264605,7.66,19.32,25.11,37.53
CI,Cross,internal,72.66,8442.1,1.4,138.461538461538,9.19,13.86,25.67,38.21
CI,Cross,internal,66.5,7714.5,2.02,128.834355828221,10.29,14.95,28.17,41.38
CI,Cross,internal,82.11,9202.1,1.36,132.835820895522,9.89,13.33,29.63,44.15
CI,Cross,internal,77.64,8748.1,1.94,166.666666666667,6.93,13.55,18.53,32.94
CI,Cross,internal,85.72,9748.7,1.59,143.525741029641,6.39,13.71,18.87,32.61
CI,Cross,internal,83.97,8775.9,1.93,129.3457,6.75,16.32,19.33,32.83
CI,Cross,internal,91.87,8522.5,1.82,127.897,10.11,16.1,26.35,42.27
CI,Cross,internal,91.5,9822.3,1.58,151.7847,8.45,17.5,27.89,41.21
RE,Non,non,63.54,6739.1,2.86,118.110236220472,4.5,9.47,21.02,39.2
RE,Non,non,62.45,6856.8,1.93,139.430284857571,2.31,6.44,17.41,32.5
RE,Non,non,69.99,6987,2.43,131.618759455371,3.96,10.81,15.78,33.87
RE,Non,non,70.87,6758.8,2.56,138.977635782748,2.41,6.17,16.67,37.61
RE,Non,non,63.18,6633.2,2.42,147.249190938511,4.01,12.22,22.48,41.82
RE,Non,non,80.85,8646.2,2.06,157.556270096463,4.85,12.28,21.56,42.15
RE,Non,non,65.54,8331.7,2.59,160.392798690671,3.38,7.01,19.62,43.14
RE,Non,non,72.33,8468.3,2.76,137.5456,3.93,8.88,16.11,33.2
RE,Non,non,76.8,7380.6,2.81,140.564,4.65,10.97,20.28,42.2
RE,Non,non,83.33,9321.5,2.01,146.358,4.22,11.34,20.89,40.1
