"Inorganic_C","Organic_C","Total_C","Macro_Aggregates","Per_Actinomycetes","Per_Fungi"
0.04,0.63,0.673,9.600521464,15.67741538,5.330203697
0.05,0.62,0.677,8.547370402,15.63062225,8.016523715
0.01,0.57,0.58,10.90790028,15.71838821,9.671975555
0.37,0.58,0.95,9.384474047,17.02543608,5.671856879
0.05,0.58,0.63,9.801083302,17.77422136,3.797665636
0.05,0.46,0.517,11.98512451,20.93204351,4.586211961
0.04,0.45,0.497,24.51823575,20.84701186,4.91334031
0.37,0.52,0.893,18.42691415,18.93567013,4.721511059
0.07,0.48,0.541,17.2750305,24.40179786,2.586714943
0.04,0.42,0.452,19.43539631,24.20097263,3.369272737
0.03,0.39,0.414,16.40667761,24.78159866,3.772124103
0.39,0.45,0.831,13.88724844,25.87340768,3.09351243
0.01,1.1,1.107,8.891039823,18.51898944,4.498911424
0,1.27,1.265,11.06089656,17.04708153,5.820528896
0.06,1.16,1.22,10.30487805,22.13571635,3.185575921
0.01,1.11,1.116,9.53380565,18.42967555,7.177403706
0.01,0.84,0.853,16.01461075,20.11509166,4.204149202
0.01,0.65,0.657,15.68375676,20.95350648,3.837821033
0.03,0.84,0.87,15.95182955,19.43328211,4.443508062
0.01,0.87,0.881,9.556283766,19.03503656,4.789284077
0,0.96,0.963,15.78723605,22.14704579,3.696804256
0.11,0.95,1.057,11.25760178,22.53368653,3.055099832
0.08,0.9,0.98,18.84306722,24.02864822,3.418587615
0.01,0.76,0.774,10.85722136,17.57020409,9.206993463
0.01,0.68,0.688,11.62189606,22.71033094,4.360437356
0.01,0.46,0.471,10.26952076,21.22497055,3.591272743
0.03,0.57,0.598,11.06059917,21.35368134,4.602141826
0.01,0.71,0.719,11.52626013,21.46996118,3.911389246
0.06,0.43,0.493,20.56589854,24.18370971,3.072979868
0.11,0.61,0.724,17.53600709,22.57981947,3.283505593
0.09,0.39,0.481,14.9386432,25.93267328,2.751581234
0,0.36,0.365,12.19895288,26.55590918,3.843514615
0.01,0.46,0.467,16.7994073,21.45640155,3.097244221
0.01,0.23,0.239,15.30612245,25.71178158,3.416322807
0.03,0.26,0.286,15.70262677,26.08347212,4.586102096
0.01,0.36,0.375,19.1421695,23.20310191,3.796750186
0.14,0.3,0.446,10.08242634,20.82380812,9.503600778
0,0.09,0.087,7.447291894,20.60680434,5.99361886
0,0.19,0.182,8.510071879,20.98585585,5.575316599
0.02,0.23,0.252,7.482491707,17.30173693,4.581570393
0.05,0.2,0.252,7.237635706,24.12325188,5.830856112
0,0.11,0.11,7.35013275,22.02525215,4.632046221
0,0.1,0.096,7.246049661,26.69930957,3.713426039
0.13,0.21,0.341,7.887638359,18.04472198,7.207757785
0.03,0.16,0.192,7.93900913,22.77606701,5.603451999
0.04,0.1,0.147,8.015883405,23.07012867,0
0,0.13,0.125,8.358755339,25.02023861,3.057971812
0.4,0.21,0.603,15.44452541,21.17139847,9.438296773
0.27,0.52,0.795,26.01514737,20.91068035,2.074723971
0.09,0.82,0.911,16.94907513,16.12348764,2.513101796
0.13,0.63,0.757,20.89700248,16.57384564,3.15895222
0.28,0.46,0.748,25.86744912,11.28796713,2.968968444
0.32,0.51,0.823,18.8740796,23.44087956,1.365472314
0.09,0.89,0.982,18.35609006,19.79759706,1.382642933
0.11,0.5,0.611,29.5145274,20.88167599,1.179371814
0.3,0.37,0.672,33.66691491,21.37155792,1.523289721
0.31,0.41,0.728,35.90311419,24.12323349,1.062127252
0.07,0.55,0.62,34.03930033,22.09166775,1.204905358
0.12,0.44,0.559,24.63077211,26.28660562,1.388799233
0.34,0.29,0.63,24.49355433,22.49532789,1.776575393
0.01,0.19,0.204,9.851509578,33.87338613,1.634082779
0.02,0.19,0.209,12.1330542,28.64415865,2.152225334
0,0.12,0.123,11.198146,26.5725938,3.879585821
0,0.15,0.149,10.55790176,23.00183689,2.6932729
0.01,0.13,0.136,11.15849325,36.86093409,0
0.01,0.13,0.144,20.04557928,35.17842253,1.329074536
0,0.1,0.104,16.37729861,29.35742732,4.017981415
0,0.11,0.111,16.98300795,31.16948868,2.014107447
0,0.1,0.102,18.69436202,43.97000668,0
0.01,0.1,0.108,20.13247342,45.48087875,4.431841094
0,0.1,0.1,9.757572938,41.91178943,4.533950913
0,0.09,0.09,15.41626219,31.63066744,0
