"id","date","tmax","tmin","prcp","name","year"
"USW00023160","1895-06-21",104,58,0,"Tucson",1895
"USW00023160","1896-06-21",102,75,0,"Tucson",1896
"USW00023160","1897-06-21",105,73,0,"Tucson",1897
"USW00023160","1898-06-21",94,75,0.03,"Tucson",1898
"USW00023160","1899-06-21",101,71,0,"Tucson",1899
"USW00023160","1900-06-21",102,72,0,"Tucson",1900
"USW00023160","1901-06-21",94,60,0,"Tucson",1901
"USW00023160","1902-06-21",108,61,0,"Tucson",1902
"USW00023160","1903-06-21",102,58,0,"Tucson",1903
"USW00023160","1904-06-21",97,68,0,"Tucson",1904
"USW00023160","1905-06-21",99,61,0,"Tucson",1905
"USW00023160","1906-06-21",107,66,0,"Tucson",1906
"USW00023160","1907-06-21",95,65,0,"Tucson",1907
"USW00023160","1908-06-21",100,59,0,"Tucson",1908
"USW00023160","1909-06-21",102,59,0,"Tucson",1909
"USW00023160","1910-06-21",103,66,0,"Tucson",1910
"USW00023160","1911-06-21",102,66,0,"Tucson",1911
"USW00023160","1912-06-21",98,73,0,"Tucson",1912
"USW00023160","1913-06-21",99,74,0,"Tucson",1913
"USW00023160","1914-06-21",98,62,0,"Tucson",1914
"USW00023160","1916-06-21",96,62,0,"Tucson",1916
"USW00023160","1917-06-21",107,65,0,"Tucson",1917
"USW00023160","1918-06-21",100,77,0,"Tucson",1918
"USW00023160","1919-06-21",109,74,0,"Tucson",1919
"USW00023160","1920-06-21",106,65,0,"Tucson",1920
"USW00023160","1921-06-21",98,59,0,"Tucson",1921
"USW00023160","1922-06-21",108,70,0,"Tucson",1922
"USW00023160","1923-06-21",91,50,0,"Tucson",1923
"USW00023160","1924-06-21",105,65,0,"Tucson",1924
"USW00023160","1926-06-21",100,60,0,"Tucson",1926
"USW00023160","1927-06-21",100,62,0,"Tucson",1927
"USW00023160","1928-06-21",100,60,0,"Tucson",1928
"USW00023160","1929-06-21",105,71,0,"Tucson",1929
"USW00023160","1931-06-21",103,67,0,"Tucson",1931
"USW00023160","1932-06-21",104,65,0,"Tucson",1932
"USW00023160","1933-06-21",98,74,0,"Tucson",1933
"USW00023160","1934-06-21",99,64,0,"Tucson",1934
"USW00023160","1935-06-21",106,63,0,"Tucson",1935
"USW00023160","1936-06-21",106,74,0,"Tucson",1936
"USW00023160","1937-06-21",105,69,0,"Tucson",1937
"USW00023160","1938-06-21",102,62,0,"Tucson",1938
"USW00023160","1939-06-21",98,62,0,"Tucson",1939
"USW00023160","1940-06-21",97,68,0.01,"Tucson",1940
"USW00023160","1941-06-21",101,68,0,"Tucson",1941
"USW00023160","1942-06-21",106,63,0,"Tucson",1942
"USW00023160","1943-06-21",103,65,0,"Tucson",1943
"USW00023160","1944-06-21",103,71,0,"Tucson",1944
"USW00023160","1945-06-21",104,62,0,"Tucson",1945
"USW00023160","1946-06-21",103,62,0,"Tucson",1946
"USW00023160","1947-06-21",85,71,0,"Tucson",1947
"USW00023160","1948-06-21",96,68,0,"Tucson",1948
"USW00023160","1949-06-21",101,79,0,"Tucson",1949
"USW00023160","1950-06-21",99,70,0.71,"Tucson",1950
"USW00023160","1951-06-21",98,68,0,"Tucson",1951
"USW00023160","1952-06-21",101,73,0,"Tucson",1952
"USW00023160","1953-06-21",107,67,0,"Tucson",1953
"USW00023160","1954-06-21",108,78,0,"Tucson",1954
"USW00023160","1955-06-21",108,68,0,"Tucson",1955
"USW00023160","1956-06-21",98,69,0,"Tucson",1956
"USW00023160","1957-06-21",101,69,0,"Tucson",1957
"USW00023160","1958-06-21",89,70,0,"Tucson",1958
"USW00023160","1959-06-21",104,73,0,"Tucson",1959
"USW00023160","1960-06-21",108,72,0,"Tucson",1960
"USW00023160","1961-06-21",102,78,0,"Tucson",1961
"USW00023160","1962-06-21",104,66,0,"Tucson",1962
"USW00023160","1963-06-21",100,69,0,"Tucson",1963
"USW00023160","1964-06-21",97,63,0,"Tucson",1964
